"landtype","spp","poolID","DOMName","amountAtT0"
130,"ABIE.BAL",1,"VF_A",0
130,"ABIE.BAL",2,"VF_B",0
130,"ABIE.BAL",3,"Fast_A",12
130,"ABIE.BAL",4,"Fast_B",0
130,"ABIE.BAL",5,"MED",15
130,"ABIE.BAL",6,"Slow_A",306
130,"ABIE.BAL",7,"Slow_B",245
130,"ABIE.BAL",8,"Sng_Stem",7
130,"ABIE.BAL",9,"Sng_Oth",3
130,"ABIE.BAL",10,"Extra",0
130,"ACER.RUB",1,"VF_A",0
130,"ACER.RUB",2,"VF_B",0
130,"ACER.RUB",3,"Fast_A",6
130,"ACER.RUB",4,"Fast_B",0
130,"ACER.RUB",5,"MED",8
130,"ACER.RUB",6,"Slow_A",158
130,"ACER.RUB",7,"Slow_B",127
130,"ACER.RUB",8,"Sng_Stem",3
130,"ACER.RUB",9,"Sng_Oth",2
130,"ACER.RUB",10,"Extra",0
130,"ACER.SAH",1,"VF_A",0
130,"ACER.SAH",2,"VF_B",0
130,"ACER.SAH",3,"Fast_A",13
130,"ACER.SAH",4,"Fast_B",0
130,"ACER.SAH",5,"MED",16
130,"ACER.SAH",6,"Slow_A",332
130,"ACER.SAH",7,"Slow_B",266
130,"ACER.SAH",8,"Sng_Stem",7
130,"ACER.SAH",9,"Sng_Oth",3
130,"ACER.SAH",10,"Extra",0
130,"BETU.ALL",1,"VF_A",0
130,"BETU.ALL",2,"VF_B",0
130,"BETU.ALL",3,"Fast_A",35
130,"BETU.ALL",4,"Fast_B",0
130,"BETU.ALL",5,"MED",43
130,"BETU.ALL",6,"Slow_A",896
130,"BETU.ALL",7,"Slow_B",717
130,"BETU.ALL",8,"Sng_Stem",19
130,"BETU.ALL",9,"Sng_Oth",9
130,"BETU.ALL",10,"Extra",0
130,"BETU.PAP",1,"VF_A",0
130,"BETU.PAP",2,"VF_B",0
130,"BETU.PAP",3,"Fast_A",1
130,"BETU.PAP",4,"Fast_B",0
130,"BETU.PAP",5,"MED",1
130,"BETU.PAP",6,"Slow_A",15
130,"BETU.PAP",7,"Slow_B",12
130,"BETU.PAP",8,"Sng_Stem",0
130,"BETU.PAP",9,"Sng_Oth",0
130,"BETU.PAP",10,"Extra",0
130,"FAGU.GRA",1,"VF_A",0
130,"FAGU.GRA",2,"VF_B",0
130,"FAGU.GRA",3,"Fast_A",6
130,"FAGU.GRA",4,"Fast_B",0
130,"FAGU.GRA",5,"MED",8
130,"FAGU.GRA",6,"Slow_A",161
130,"FAGU.GRA",7,"Slow_B",129
130,"FAGU.GRA",8,"Sng_Stem",3
130,"FAGU.GRA",9,"Sng_Oth",2
130,"FAGU.GRA",10,"Extra",0
130,"LARI.LAR",1,"VF_A",0
130,"LARI.LAR",2,"VF_B",0
130,"LARI.LAR",3,"Fast_A",0
130,"LARI.LAR",4,"Fast_B",0
130,"LARI.LAR",5,"MED",0
130,"LARI.LAR",6,"Slow_A",4
130,"LARI.LAR",7,"Slow_B",3
130,"LARI.LAR",8,"Sng_Stem",0
130,"LARI.LAR",9,"Sng_Oth",0
130,"LARI.LAR",10,"Extra",0
130,"PICE.GLA",1,"VF_A",0
130,"PICE.GLA",2,"VF_B",0
130,"PICE.GLA",3,"Fast_A",18
130,"PICE.GLA",4,"Fast_B",0
130,"PICE.GLA",5,"MED",23
130,"PICE.GLA",6,"Slow_A",470
130,"PICE.GLA",7,"Slow_B",376
130,"PICE.GLA",8,"Sng_Stem",10
130,"PICE.GLA",9,"Sng_Oth",5
130,"PICE.GLA",10,"Extra",0
130,"PICE.MAR",1,"VF_A",0
130,"PICE.MAR",2,"VF_B",0
130,"PICE.MAR",3,"Fast_A",13
130,"PICE.MAR",4,"Fast_B",0
130,"PICE.MAR",5,"MED",16
130,"PICE.MAR",6,"Slow_A",339
130,"PICE.MAR",7,"Slow_B",271
130,"PICE.MAR",8,"Sng_Stem",7
130,"PICE.MAR",9,"Sng_Oth",4
130,"PICE.MAR",10,"Extra",0
130,"PICE.RUB",1,"VF_A",0
130,"PICE.RUB",2,"VF_B",0
130,"PICE.RUB",3,"Fast_A",113
130,"PICE.RUB",4,"Fast_B",0
130,"PICE.RUB",5,"MED",139
130,"PICE.RUB",6,"Slow_A",2897
130,"PICE.RUB",7,"Slow_B",2317
130,"PICE.RUB",8,"Sng_Stem",62
130,"PICE.RUB",9,"Sng_Oth",30
130,"PICE.RUB",10,"Extra",0
130,"PINU.BAN",1,"VF_A",0
130,"PINU.BAN",2,"VF_B",0
130,"PINU.BAN",3,"Fast_A",5
130,"PINU.BAN",4,"Fast_B",0
130,"PINU.BAN",5,"MED",7
130,"PINU.BAN",6,"Slow_A",141
130,"PINU.BAN",7,"Slow_B",113
130,"PINU.BAN",8,"Sng_Stem",3
130,"PINU.BAN",9,"Sng_Oth",1
130,"PINU.BAN",10,"Extra",0
130,"PINU.RES",1,"VF_A",0
130,"PINU.RES",2,"VF_B",0
130,"PINU.RES",3,"Fast_A",0
130,"PINU.RES",4,"Fast_B",0
130,"PINU.RES",5,"MED",0
130,"PINU.RES",6,"Slow_A",0
130,"PINU.RES",7,"Slow_B",0
130,"PINU.RES",8,"Sng_Stem",0
130,"PINU.RES",9,"Sng_Oth",0
130,"PINU.RES",10,"Extra",0
130,"PINU.STR",1,"VF_A",0
130,"PINU.STR",2,"VF_B",0
130,"PINU.STR",3,"Fast_A",6
130,"PINU.STR",4,"Fast_B",0
130,"PINU.STR",5,"MED",7
130,"PINU.STR",6,"Slow_A",154
130,"PINU.STR",7,"Slow_B",123
130,"PINU.STR",8,"Sng_Stem",3
130,"PINU.STR",9,"Sng_Oth",2
130,"PINU.STR",10,"Extra",0
130,"POPU.TRE",1,"VF_A",0
130,"POPU.TRE",2,"VF_B",0
130,"POPU.TRE",3,"Fast_A",1
130,"POPU.TRE",4,"Fast_B",0
130,"POPU.TRE",5,"MED",1
130,"POPU.TRE",6,"Slow_A",25
130,"POPU.TRE",7,"Slow_B",20
130,"POPU.TRE",8,"Sng_Stem",1
130,"POPU.TRE",9,"Sng_Oth",0
130,"POPU.TRE",10,"Extra",0
130,"QUER.RUB",1,"VF_A",0
130,"QUER.RUB",2,"VF_B",0
130,"QUER.RUB",3,"Fast_A",5
130,"QUER.RUB",4,"Fast_B",0
130,"QUER.RUB",5,"MED",7
130,"QUER.RUB",6,"Slow_A",138
130,"QUER.RUB",7,"Slow_B",110
130,"QUER.RUB",8,"Sng_Stem",3
130,"QUER.RUB",9,"Sng_Oth",1
130,"QUER.RUB",10,"Extra",0
130,"THUJ.SPP.ALL",1,"VF_A",0
130,"THUJ.SPP.ALL",2,"VF_B",0
130,"THUJ.SPP.ALL",3,"Fast_A",15
130,"THUJ.SPP.ALL",4,"Fast_B",0
130,"THUJ.SPP.ALL",5,"MED",18
130,"THUJ.SPP.ALL",6,"Slow_A",377
130,"THUJ.SPP.ALL",7,"Slow_B",301
130,"THUJ.SPP.ALL",8,"Sng_Stem",8
130,"THUJ.SPP.ALL",9,"Sng_Oth",4
130,"THUJ.SPP.ALL",10,"Extra",0
130,"TSUG.CAN",1,"VF_A",0
130,"TSUG.CAN",2,"VF_B",0
130,"TSUG.CAN",3,"Fast_A",9
130,"TSUG.CAN",4,"Fast_B",0
130,"TSUG.CAN",5,"MED",11
130,"TSUG.CAN",6,"Slow_A",222
130,"TSUG.CAN",7,"Slow_B",177
130,"TSUG.CAN",8,"Sng_Stem",5
130,"TSUG.CAN",9,"Sng_Oth",2
130,"TSUG.CAN",10,"Extra",0
131,"ABIE.BAL",1,"VF_A",0
131,"ABIE.BAL",2,"VF_B",0
131,"ABIE.BAL",3,"Fast_A",14
131,"ABIE.BAL",4,"Fast_B",0
131,"ABIE.BAL",5,"MED",18
131,"ABIE.BAL",6,"Slow_A",367
131,"ABIE.BAL",7,"Slow_B",293
131,"ABIE.BAL",8,"Sng_Stem",8
131,"ABIE.BAL",9,"Sng_Oth",4
131,"ABIE.BAL",10,"Extra",0
131,"ACER.RUB",1,"VF_A",0
131,"ACER.RUB",2,"VF_B",0
131,"ACER.RUB",3,"Fast_A",8
131,"ACER.RUB",4,"Fast_B",0
131,"ACER.RUB",5,"MED",10
131,"ACER.RUB",6,"Slow_A",197
131,"ACER.RUB",7,"Slow_B",158
131,"ACER.RUB",8,"Sng_Stem",4
131,"ACER.RUB",9,"Sng_Oth",2
131,"ACER.RUB",10,"Extra",0
131,"ACER.SAH",1,"VF_A",0
131,"ACER.SAH",2,"VF_B",0
131,"ACER.SAH",3,"Fast_A",14
131,"ACER.SAH",4,"Fast_B",0
131,"ACER.SAH",5,"MED",17
131,"ACER.SAH",6,"Slow_A",355
131,"ACER.SAH",7,"Slow_B",284
131,"ACER.SAH",8,"Sng_Stem",8
131,"ACER.SAH",9,"Sng_Oth",4
131,"ACER.SAH",10,"Extra",0
131,"BETU.ALL",1,"VF_A",0
131,"BETU.ALL",2,"VF_B",0
131,"BETU.ALL",3,"Fast_A",42
131,"BETU.ALL",4,"Fast_B",0
131,"BETU.ALL",5,"MED",52
131,"BETU.ALL",6,"Slow_A",1076
131,"BETU.ALL",7,"Slow_B",860
131,"BETU.ALL",8,"Sng_Stem",23
131,"BETU.ALL",9,"Sng_Oth",11
131,"BETU.ALL",10,"Extra",0
131,"BETU.PAP",1,"VF_A",0
131,"BETU.PAP",2,"VF_B",0
131,"BETU.PAP",3,"Fast_A",1
131,"BETU.PAP",4,"Fast_B",0
131,"BETU.PAP",5,"MED",1
131,"BETU.PAP",6,"Slow_A",13
131,"BETU.PAP",7,"Slow_B",10
131,"BETU.PAP",8,"Sng_Stem",0
131,"BETU.PAP",9,"Sng_Oth",0
131,"BETU.PAP",10,"Extra",0
131,"FAGU.GRA",1,"VF_A",0
131,"FAGU.GRA",2,"VF_B",0
131,"FAGU.GRA",3,"Fast_A",10
131,"FAGU.GRA",4,"Fast_B",0
131,"FAGU.GRA",5,"MED",13
131,"FAGU.GRA",6,"Slow_A",267
131,"FAGU.GRA",7,"Slow_B",213
131,"FAGU.GRA",8,"Sng_Stem",6
131,"FAGU.GRA",9,"Sng_Oth",3
131,"FAGU.GRA",10,"Extra",0
131,"LARI.LAR",1,"VF_A",0
131,"LARI.LAR",2,"VF_B",0
131,"LARI.LAR",3,"Fast_A",0
131,"LARI.LAR",4,"Fast_B",0
131,"LARI.LAR",5,"MED",0
131,"LARI.LAR",6,"Slow_A",2
131,"LARI.LAR",7,"Slow_B",2
131,"LARI.LAR",8,"Sng_Stem",0
131,"LARI.LAR",9,"Sng_Oth",0
131,"LARI.LAR",10,"Extra",0
131,"PICE.GLA",1,"VF_A",0
131,"PICE.GLA",2,"VF_B",0
131,"PICE.GLA",3,"Fast_A",32
131,"PICE.GLA",4,"Fast_B",0
131,"PICE.GLA",5,"MED",39
131,"PICE.GLA",6,"Slow_A",815
131,"PICE.GLA",7,"Slow_B",652
131,"PICE.GLA",8,"Sng_Stem",17
131,"PICE.GLA",9,"Sng_Oth",8
131,"PICE.GLA",10,"Extra",0
131,"PICE.MAR",1,"VF_A",0
131,"PICE.MAR",2,"VF_B",0
131,"PICE.MAR",3,"Fast_A",14
131,"PICE.MAR",4,"Fast_B",0
131,"PICE.MAR",5,"MED",17
131,"PICE.MAR",6,"Slow_A",359
131,"PICE.MAR",7,"Slow_B",287
131,"PICE.MAR",8,"Sng_Stem",8
131,"PICE.MAR",9,"Sng_Oth",4
131,"PICE.MAR",10,"Extra",0
131,"PICE.RUB",1,"VF_A",0
131,"PICE.RUB",2,"VF_B",0
131,"PICE.RUB",3,"Fast_A",82
131,"PICE.RUB",4,"Fast_B",0
131,"PICE.RUB",5,"MED",102
131,"PICE.RUB",6,"Slow_A",2113
131,"PICE.RUB",7,"Slow_B",1690
131,"PICE.RUB",8,"Sng_Stem",45
131,"PICE.RUB",9,"Sng_Oth",22
131,"PICE.RUB",10,"Extra",0
131,"PINU.BAN",1,"VF_A",0
131,"PINU.BAN",2,"VF_B",0
131,"PINU.BAN",3,"Fast_A",1
131,"PINU.BAN",4,"Fast_B",0
131,"PINU.BAN",5,"MED",1
131,"PINU.BAN",6,"Slow_A",15
131,"PINU.BAN",7,"Slow_B",12
131,"PINU.BAN",8,"Sng_Stem",0
131,"PINU.BAN",9,"Sng_Oth",0
131,"PINU.BAN",10,"Extra",0
131,"PINU.RES",1,"VF_A",0
131,"PINU.RES",2,"VF_B",0
131,"PINU.RES",3,"Fast_A",0
131,"PINU.RES",4,"Fast_B",0
131,"PINU.RES",5,"MED",0
131,"PINU.RES",6,"Slow_A",0
131,"PINU.RES",7,"Slow_B",0
131,"PINU.RES",8,"Sng_Stem",0
131,"PINU.RES",9,"Sng_Oth",0
131,"PINU.RES",10,"Extra",0
131,"PINU.STR",1,"VF_A",0
131,"PINU.STR",2,"VF_B",0
131,"PINU.STR",3,"Fast_A",10
131,"PINU.STR",4,"Fast_B",0
131,"PINU.STR",5,"MED",13
131,"PINU.STR",6,"Slow_A",264
131,"PINU.STR",7,"Slow_B",211
131,"PINU.STR",8,"Sng_Stem",6
131,"PINU.STR",9,"Sng_Oth",3
131,"PINU.STR",10,"Extra",0
131,"POPU.TRE",1,"VF_A",0
131,"POPU.TRE",2,"VF_B",0
131,"POPU.TRE",3,"Fast_A",0
131,"POPU.TRE",4,"Fast_B",0
131,"POPU.TRE",5,"MED",1
131,"POPU.TRE",6,"Slow_A",12
131,"POPU.TRE",7,"Slow_B",10
131,"POPU.TRE",8,"Sng_Stem",0
131,"POPU.TRE",9,"Sng_Oth",0
131,"POPU.TRE",10,"Extra",0
131,"QUER.RUB",1,"VF_A",0
131,"QUER.RUB",2,"VF_B",0
131,"QUER.RUB",3,"Fast_A",6
131,"QUER.RUB",4,"Fast_B",0
131,"QUER.RUB",5,"MED",7
131,"QUER.RUB",6,"Slow_A",150
131,"QUER.RUB",7,"Slow_B",120
131,"QUER.RUB",8,"Sng_Stem",3
131,"QUER.RUB",9,"Sng_Oth",2
131,"QUER.RUB",10,"Extra",0
131,"THUJ.SPP.ALL",1,"VF_A",0
131,"THUJ.SPP.ALL",2,"VF_B",0
131,"THUJ.SPP.ALL",3,"Fast_A",13
131,"THUJ.SPP.ALL",4,"Fast_B",0
131,"THUJ.SPP.ALL",5,"MED",16
131,"THUJ.SPP.ALL",6,"Slow_A",329
131,"THUJ.SPP.ALL",7,"Slow_B",263
131,"THUJ.SPP.ALL",8,"Sng_Stem",7
131,"THUJ.SPP.ALL",9,"Sng_Oth",3
131,"THUJ.SPP.ALL",10,"Extra",0
131,"TSUG.CAN",1,"VF_A",0
131,"TSUG.CAN",2,"VF_B",0
131,"TSUG.CAN",3,"Fast_A",12
131,"TSUG.CAN",4,"Fast_B",0
131,"TSUG.CAN",5,"MED",14
131,"TSUG.CAN",6,"Slow_A",300
131,"TSUG.CAN",7,"Slow_B",240
131,"TSUG.CAN",8,"Sng_Stem",6
131,"TSUG.CAN",9,"Sng_Oth",3
131,"TSUG.CAN",10,"Extra",0
132,"ABIE.BAL",1,"VF_A",0
132,"ABIE.BAL",2,"VF_B",0
132,"ABIE.BAL",3,"Fast_A",10
132,"ABIE.BAL",4,"Fast_B",0
132,"ABIE.BAL",5,"MED",12
132,"ABIE.BAL",6,"Slow_A",253
132,"ABIE.BAL",7,"Slow_B",202
132,"ABIE.BAL",8,"Sng_Stem",5
132,"ABIE.BAL",9,"Sng_Oth",3
132,"ABIE.BAL",10,"Extra",0
132,"ACER.RUB",1,"VF_A",0
132,"ACER.RUB",2,"VF_B",0
132,"ACER.RUB",3,"Fast_A",4
132,"ACER.RUB",4,"Fast_B",0
132,"ACER.RUB",5,"MED",5
132,"ACER.RUB",6,"Slow_A",114
132,"ACER.RUB",7,"Slow_B",91
132,"ACER.RUB",8,"Sng_Stem",2
132,"ACER.RUB",9,"Sng_Oth",1
132,"ACER.RUB",10,"Extra",0
132,"ACER.SAH",1,"VF_A",0
132,"ACER.SAH",2,"VF_B",0
132,"ACER.SAH",3,"Fast_A",10
132,"ACER.SAH",4,"Fast_B",0
132,"ACER.SAH",5,"MED",13
132,"ACER.SAH",6,"Slow_A",268
132,"ACER.SAH",7,"Slow_B",215
132,"ACER.SAH",8,"Sng_Stem",6
132,"ACER.SAH",9,"Sng_Oth",3
132,"ACER.SAH",10,"Extra",0
132,"BETU.ALL",1,"VF_A",0
132,"BETU.ALL",2,"VF_B",0
132,"BETU.ALL",3,"Fast_A",31
132,"BETU.ALL",4,"Fast_B",0
132,"BETU.ALL",5,"MED",39
132,"BETU.ALL",6,"Slow_A",803
132,"BETU.ALL",7,"Slow_B",642
132,"BETU.ALL",8,"Sng_Stem",17
132,"BETU.ALL",9,"Sng_Oth",8
132,"BETU.ALL",10,"Extra",0
132,"BETU.PAP",1,"VF_A",0
132,"BETU.PAP",2,"VF_B",0
132,"BETU.PAP",3,"Fast_A",0
132,"BETU.PAP",4,"Fast_B",0
132,"BETU.PAP",5,"MED",0
132,"BETU.PAP",6,"Slow_A",9
132,"BETU.PAP",7,"Slow_B",7
132,"BETU.PAP",8,"Sng_Stem",0
132,"BETU.PAP",9,"Sng_Oth",0
132,"BETU.PAP",10,"Extra",0
132,"FAGU.GRA",1,"VF_A",0
132,"FAGU.GRA",2,"VF_B",0
132,"FAGU.GRA",3,"Fast_A",7
132,"FAGU.GRA",4,"Fast_B",0
132,"FAGU.GRA",5,"MED",8
132,"FAGU.GRA",6,"Slow_A",173
132,"FAGU.GRA",7,"Slow_B",138
132,"FAGU.GRA",8,"Sng_Stem",4
132,"FAGU.GRA",9,"Sng_Oth",2
132,"FAGU.GRA",10,"Extra",0
132,"LARI.LAR",1,"VF_A",0
132,"LARI.LAR",2,"VF_B",0
132,"LARI.LAR",3,"Fast_A",0
132,"LARI.LAR",4,"Fast_B",0
132,"LARI.LAR",5,"MED",0
132,"LARI.LAR",6,"Slow_A",2
132,"LARI.LAR",7,"Slow_B",1
132,"LARI.LAR",8,"Sng_Stem",0
132,"LARI.LAR",9,"Sng_Oth",0
132,"LARI.LAR",10,"Extra",0
132,"PICE.GLA",1,"VF_A",0
132,"PICE.GLA",2,"VF_B",0
132,"PICE.GLA",3,"Fast_A",30
132,"PICE.GLA",4,"Fast_B",0
132,"PICE.GLA",5,"MED",37
132,"PICE.GLA",6,"Slow_A",763
132,"PICE.GLA",7,"Slow_B",610
132,"PICE.GLA",8,"Sng_Stem",16
132,"PICE.GLA",9,"Sng_Oth",8
132,"PICE.GLA",10,"Extra",0
132,"PICE.MAR",1,"VF_A",0
132,"PICE.MAR",2,"VF_B",0
132,"PICE.MAR",3,"Fast_A",16
132,"PICE.MAR",4,"Fast_B",0
132,"PICE.MAR",5,"MED",20
132,"PICE.MAR",6,"Slow_A",422
132,"PICE.MAR",7,"Slow_B",338
132,"PICE.MAR",8,"Sng_Stem",9
132,"PICE.MAR",9,"Sng_Oth",4
132,"PICE.MAR",10,"Extra",0
132,"PICE.RUB",1,"VF_A",0
132,"PICE.RUB",2,"VF_B",0
132,"PICE.RUB",3,"Fast_A",120
132,"PICE.RUB",4,"Fast_B",0
132,"PICE.RUB",5,"MED",148
132,"PICE.RUB",6,"Slow_A",3073
132,"PICE.RUB",7,"Slow_B",2458
132,"PICE.RUB",8,"Sng_Stem",66
132,"PICE.RUB",9,"Sng_Oth",32
132,"PICE.RUB",10,"Extra",0
132,"PINU.BAN",1,"VF_A",0
132,"PINU.BAN",2,"VF_B",0
132,"PINU.BAN",3,"Fast_A",0
132,"PINU.BAN",4,"Fast_B",0
132,"PINU.BAN",5,"MED",0
132,"PINU.BAN",6,"Slow_A",5
132,"PINU.BAN",7,"Slow_B",4
132,"PINU.BAN",8,"Sng_Stem",0
132,"PINU.BAN",9,"Sng_Oth",0
132,"PINU.BAN",10,"Extra",0
132,"PINU.RES",1,"VF_A",0
132,"PINU.RES",2,"VF_B",0
132,"PINU.RES",3,"Fast_A",0
132,"PINU.RES",4,"Fast_B",0
132,"PINU.RES",5,"MED",0
132,"PINU.RES",6,"Slow_A",0
132,"PINU.RES",7,"Slow_B",0
132,"PINU.RES",8,"Sng_Stem",0
132,"PINU.RES",9,"Sng_Oth",0
132,"PINU.RES",10,"Extra",0
132,"PINU.STR",1,"VF_A",0
132,"PINU.STR",2,"VF_B",0
132,"PINU.STR",3,"Fast_A",8
132,"PINU.STR",4,"Fast_B",0
132,"PINU.STR",5,"MED",9
132,"PINU.STR",6,"Slow_A",197
132,"PINU.STR",7,"Slow_B",158
132,"PINU.STR",8,"Sng_Stem",4
132,"PINU.STR",9,"Sng_Oth",2
132,"PINU.STR",10,"Extra",0
132,"POPU.TRE",1,"VF_A",0
132,"POPU.TRE",2,"VF_B",0
132,"POPU.TRE",3,"Fast_A",1
132,"POPU.TRE",4,"Fast_B",0
132,"POPU.TRE",5,"MED",1
132,"POPU.TRE",6,"Slow_A",24
132,"POPU.TRE",7,"Slow_B",19
132,"POPU.TRE",8,"Sng_Stem",1
132,"POPU.TRE",9,"Sng_Oth",0
132,"POPU.TRE",10,"Extra",0
132,"QUER.RUB",1,"VF_A",0
132,"QUER.RUB",2,"VF_B",0
132,"QUER.RUB",3,"Fast_A",5
132,"QUER.RUB",4,"Fast_B",0
132,"QUER.RUB",5,"MED",6
132,"QUER.RUB",6,"Slow_A",132
132,"QUER.RUB",7,"Slow_B",105
132,"QUER.RUB",8,"Sng_Stem",3
132,"QUER.RUB",9,"Sng_Oth",1
132,"QUER.RUB",10,"Extra",0
132,"THUJ.SPP.ALL",1,"VF_A",0
132,"THUJ.SPP.ALL",2,"VF_B",0
132,"THUJ.SPP.ALL",3,"Fast_A",10
132,"THUJ.SPP.ALL",4,"Fast_B",0
132,"THUJ.SPP.ALL",5,"MED",12
132,"THUJ.SPP.ALL",6,"Slow_A",251
132,"THUJ.SPP.ALL",7,"Slow_B",201
132,"THUJ.SPP.ALL",8,"Sng_Stem",5
132,"THUJ.SPP.ALL",9,"Sng_Oth",3
132,"THUJ.SPP.ALL",10,"Extra",0
132,"TSUG.CAN",1,"VF_A",0
132,"TSUG.CAN",2,"VF_B",0
132,"TSUG.CAN",3,"Fast_A",6
132,"TSUG.CAN",4,"Fast_B",0
132,"TSUG.CAN",5,"MED",7
132,"TSUG.CAN",6,"Slow_A",145
132,"TSUG.CAN",7,"Slow_B",116
132,"TSUG.CAN",8,"Sng_Stem",3
132,"TSUG.CAN",9,"Sng_Oth",2
132,"TSUG.CAN",10,"Extra",0
133,"ABIE.BAL",1,"VF_A",0
133,"ABIE.BAL",2,"VF_B",0
133,"ABIE.BAL",3,"Fast_A",14
133,"ABIE.BAL",4,"Fast_B",0
133,"ABIE.BAL",5,"MED",17
133,"ABIE.BAL",6,"Slow_A",364
133,"ABIE.BAL",7,"Slow_B",291
133,"ABIE.BAL",8,"Sng_Stem",8
133,"ABIE.BAL",9,"Sng_Oth",4
133,"ABIE.BAL",10,"Extra",0
133,"ACER.RUB",1,"VF_A",0
133,"ACER.RUB",2,"VF_B",0
133,"ACER.RUB",3,"Fast_A",6
133,"ACER.RUB",4,"Fast_B",0
133,"ACER.RUB",5,"MED",7
133,"ACER.RUB",6,"Slow_A",143
133,"ACER.RUB",7,"Slow_B",115
133,"ACER.RUB",8,"Sng_Stem",3
133,"ACER.RUB",9,"Sng_Oth",1
133,"ACER.RUB",10,"Extra",0
133,"ACER.SAH",1,"VF_A",0
133,"ACER.SAH",2,"VF_B",0
133,"ACER.SAH",3,"Fast_A",14
133,"ACER.SAH",4,"Fast_B",0
